% time spent exploring,steps,episodes,mean 100 episode reward
99,505,100,-5.9
99,993,200,-5.6
99,1458,300,-5.6
99,1975,400,-5.6
99,2415,500,-5.9
99,2885,600,-6.0
99,3349,700,-5.4
99,3855,800,-5.1
98,4343,900,-5.3
98,4854,1000,-5.7
98,5298,1100,-6.2
98,5777,1200,-5.4
98,6243,1300,-6.0
98,6711,1400,-5.5
98,7186,1500,-6.0
98,7645,1600,-5.8
97,8135,1700,-5.6
97,8606,1800,-5.5
97,9135,1900,-5.4
97,9620,2000,-5.6
97,10079,2100,-5.3
97,10549,2200,-5.7
97,11018,2300,-5.8
97,11438,2400,-6.0
97,11935,2500,-5.5
96,12424,2600,-5.3
96,12865,2700,-6.1
96,13366,2800,-5.5
96,13875,2900,-5.3
96,14376,3000,-5.6
96,14870,3100,-6.0
96,15367,3200,-5.4
96,15855,3300,-5.6
95,16386,3400,-4.7
95,16844,3500,-5.3
95,17354,3600,-5.4
95,17837,3700,-5.8
95,18352,3800,-5.1
95,18877,3900,-5.5
95,19421,4000,-5.1
95,19922,4100,-5.4
94,20410,4200,-5.7
94,20919,4300,-5.7
94,21418,4400,-5.5
94,21948,4500,-5.3
94,22480,4600,-5.7
94,23022,4700,-5.5
94,23543,4800,-5.5
94,24071,4900,-5.3
93,24566,5000,-5.0
93,25041,5100,-5.6
93,25554,5200,-5.5
93,26067,5300,-5.4
93,26584,5400,-5.3
93,27075,5500,-5.4
93,27579,5600,-5.6
93,28088,5700,-5.3
92,28623,5800,-5.0
92,29126,5900,-5.2
92,29618,6000,-5.5
92,30139,6100,-5.0
92,30633,6200,-5.9
92,31130,6300,-5.8
92,31642,6400,-5.0
92,32142,6500,-5.4
91,32655,6600,-5.6
91,33180,6700,-5.2
91,33676,6800,-5.4
91,34242,6900,-5.0
91,34773,7000,-5.5
91,35251,7100,-5.6
91,35809,7200,-5.4
91,36339,7300,-5.2
90,36850,7400,-5.5
90,37378,7500,-5.0
90,37953,7600,-5.0
90,38537,7700,-5.1
90,39073,7800,-5.3
90,39600,7900,-4.7
90,40120,8000,-5.4
89,40644,8100,-5.1
89,41214,8200,-5.0
89,41743,8300,-5.4
89,42272,8400,-5.2
89,42798,8500,-5.1
89,43341,8600,-5.6
89,43872,8700,-5.6
89,44404,8800,-5.4
88,44932,8900,-5.4
88,45436,9000,-5.6
88,45907,9100,-5.6
88,46441,9200,-4.8
88,47016,9300,-5.4
88,47512,9400,-5.1
88,48041,9500,-5.0
87,48584,9600,-5.6
87,49134,9700,-5.2
87,49701,9800,-5.3
87,50223,9900,-5.0
87,50783,10000,-5.4
87,51291,10100,-5.2
87,51794,10200,-5.4
87,52394,10300,-4.6
86,52883,10400,-5.4
86,53413,10500,-4.9
86,53872,10600,-5.3
86,54474,10700,-4.7
86,54997,10800,-5.4
86,55550,10900,-5.3
86,56160,11000,-5.1
85,56725,11100,-5.1
85,57312,11200,-4.8
85,57863,11300,-5.0
85,58462,11400,-5.4
85,59029,11500,-5.2
85,59601,11600,-5.1
85,60177,11700,-5.2
84,60679,11800,-5.7
84,61193,11900,-5.1
84,61726,12000,-5.5
84,62245,12100,-4.8
84,62709,12200,-5.8
84,63254,12300,-4.9
84,63767,12400,-5.4
84,64325,12500,-4.8
83,64890,12600,-5.3
83,65392,12700,-5.4
83,65959,12800,-5.0
83,66498,12900,-5.6
83,67113,13000,-4.9
83,67628,13100,-5.2
83,68118,13200,-5.5
83,68664,13300,-5.1
82,69170,13400,-5.2
82,69752,13500,-5.0
82,70333,13600,-4.8
82,70883,13700,-5.0
82,71417,13800,-5.0
82,71951,13900,-4.9
82,72496,14000,-5.2
81,73057,14100,-4.9
81,73594,14200,-5.2
81,74175,14300,-5.1
81,74748,14400,-4.9
81,75274,14500,-5.2
81,75796,14600,-5.0
81,76385,14700,-5.4
80,77009,14800,-5.0
80,77607,14900,-5.0
80,78178,15000,-4.8
80,78762,15100,-4.7
80,79420,15200,-4.2
80,80072,15300,-4.0
80,80702,15400,-4.9
79,81350,15500,-4.8
79,81893,15600,-4.7
79,82448,15700,-5.0
79,83023,15800,-4.8
79,83633,15900,-5.3
79,84234,16000,-4.6
79,84788,16100,-5.4
78,85432,16200,-4.6
78,86014,16300,-5.3
78,86604,16400,-4.7
78,87185,16500,-5.2
78,87698,16600,-5.7
78,88237,16700,-4.9
78,88845,16800,-4.9
77,89395,16900,-5.0
77,90032,17000,-4.6
77,90600,17100,-5.1
77,91204,17200,-4.6
77,91787,17300,-5.6
77,92452,17400,-4.4
76,93047,17500,-5.0
76,93599,17600,-4.9
76,94202,17700,-4.9
76,94804,17800,-4.7
76,95446,17900,-4.2
76,96069,18000,-4.4
76,96630,18100,-5.0
75,97246,18200,-4.7
75,97833,18300,-5.4
75,98418,18400,-4.5
75,99058,18500,-4.4
75,99680,18600,-4.7
75,100299,18700,-4.9
75,100912,18800,-5.0
74,101535,18900,-4.5
74,102136,19000,-4.4
74,102713,19100,-4.8
74,103382,19200,-4.4
74,103935,19300,-5.5
74,104504,19400,-5.4
73,105090,19500,-5.0
73,105764,19600,-4.3
73,106369,19700,-4.9
73,106960,19800,-5.0
73,107548,19900,-4.4
73,108195,20000,-4.7
73,108840,20100,-4.8
72,109466,20200,-4.5
72,110052,20300,-5.1
72,110681,20400,-4.4
72,111253,20500,-5.0
72,111871,20600,-4.7
72,112509,20700,-4.5
71,113176,20800,-4.7
71,113835,20900,-4.5
71,114538,21000,-4.2
71,115114,21100,-4.7
71,115718,21200,-4.8
71,116424,21300,-3.9
71,117089,21400,-4.5
70,117670,21500,-5.0
70,118269,21600,-4.3
70,118923,21700,-4.4
70,119594,21800,-4.6
70,120265,21900,-4.3
70,120905,22000,-4.1
69,121585,22100,-4.6
69,122180,22200,-4.8
69,122829,22300,-4.1
69,123455,22400,-4.8
69,124068,22500,-5.0
69,124648,22600,-4.5
68,125257,22700,-4.5
68,125819,22800,-4.8
68,126482,22900,-4.5
68,127073,23000,-4.4
68,127730,23100,-4.6
68,128411,23200,-4.6
68,129092,23300,-4.0
67,129713,23400,-4.5
67,130310,23500,-4.6
67,131031,23600,-4.0
67,131603,23700,-4.5
67,132210,23800,-5.1
67,132842,23900,-4.8
66,133432,24000,-4.8
66,134088,24100,-4.5
66,134780,24200,-4.3
66,135410,24300,-4.8
66,136011,24400,-3.9
66,136662,24500,-4.3
66,137323,24600,-4.5
65,138083,24700,-3.6
65,138772,24800,-4.2
65,139383,24900,-5.0
65,139983,25000,-4.8
65,140660,25100,-4.5
65,141337,25200,-4.4
64,142008,25300,-4.4
64,142686,25400,-4.3
64,143333,25500,-4.9
64,144001,25600,-3.8
64,144634,25700,-5.3
64,145276,25800,-4.4
63,145964,25900,-4.4
63,146593,26000,-4.6
63,147253,26100,-4.7
63,147903,26200,-5.0
63,148526,26300,-5.0
