steps,mean 100 episode reward,% time spent exploring,episodes
2644,-9.7,99,100
5128,-9.7,98,200
8066,-9.6,98,300
11057,-9.6,97,400
13819,-9.6,96,500
16387,-9.7,95,600
19170,-9.8,95,700
21998,-9.7,94,800
25050,-9.7,93,900
27644,-9.7,93,1000
30242,-9.6,92,1100
33000,-9.7,91,1200
35414,-9.8,91,1300
38019,-9.7,90,1400
40810,-9.7,89,1500
43758,-9.6,89,1600
46873,-9.8,88,1700
49606,-9.7,87,1800
52369,-9.6,87,1900
55363,-9.7,86,2000
58267,-9.6,85,2100
61407,-9.7,84,2200
64666,-9.5,83,2300
67684,-9.6,83,2400
71002,-9.6,82,2500
73670,-9.7,81,2600
76662,-9.7,81,2700
79242,-9.7,80,2800
81867,-9.7,79,2900
85192,-9.5,78,3000
88437,-9.6,78,3100
91534,-9.6,77,3200
95410,-9.7,76,3300
98426,-9.5,75,3400
101851,-9.6,74,3500
105123,-9.6,73,3600
108106,-9.6,73,3700
110912,-9.7,72,3800
113711,-9.7,71,3900
116819,-9.7,71,4000
119572,-9.6,70,4100
122287,-9.7,69,4200
125311,-9.6,68,4300
127849,-9.7,68,4400
130283,-9.7,67,4500
132688,-9.7,67,4600
135312,-9.7,66,4700
137992,-9.7,65,4800
140752,-9.7,65,4900
143849,-9.7,64,5000
147366,-9.6,63,5100
151380,-9.6,62,5200
155658,-9.4,61,5300
159140,-9.6,60,5400
162223,-9.6,59,5500
164998,-9.6,59,5600
168061,-9.5,58,5700
171885,-9.6,57,5800
175291,-9.6,56,5900
178657,-9.6,55,6000
181420,-9.5,55,6100
184260,-9.4,54,6200
187118,-9.6,53,6300
190457,-9.6,52,6400
194051,-9.5,51,6500
198672,-9.4,50,6600
201937,-9.4,50,6700
205030,-9.4,49,6800
207905,-9.5,48,6900
210844,-9.6,47,7000
213840,-9.5,47,7100
216925,-9.4,46,7200
220413,-9.4,45,7300
223939,-9.2,44,7400
228715,-9.1,43,7500
235517,-8.4,41,7600
239653,-8.8,40,7700
243873,-9.3,39,7800
248836,-9.1,38,7900
254476,-8.4,37,8000
260014,-8.3,35,8100
269034,-6.8,33,8200
278537,-5.7,31,8300
285528,-6.8,29,8400
289497,-8.9,28,8500
293078,-8.9,27,8600
300695,-6.5,25,8700
316130,-1.4,21,8800
331652,-0.4,17,8900
350926,1.5,13,9000
374285,3.3,7,9100
409983,8.0,1,9200
456750,14.4,1,9300
504998,21.7,1,9400
549133,23.9,1,9500
594909,25.1,1,9600
640475,27.6,1,9700
683747,26.7,1,9800
722825,25.7,1,9900
765969,27.0,1,10000
805781,25.3,1,10100
848275,28.2,1,10200
891039,28.1,1,10300
934029,29.6,1,10400
974199,27.8,1,10500
1011879,26.6,1,10600
1047038,25.0,1,10700
1084715,24.6,1,10800
1117530,24.0,1,10900
1151121,24.3,1,11000
1185861,27.5,1,11100
1219586,26.4,1,11200
1254973,27.4,1,11300
1294317,29.6,1,11400
1327939,25.3,1,11500
1361362,26.2,1,11600
1392272,24.1,1,11700
1425970,25.1,1,11800
1459190,26.4,1,11900
1494220,28.2,1,12000
1529345,28.4,1,12100
1563810,28.1,1,12200
1597536,26.6,1,12300
1630646,27.2,1,12400
1663459,27.6,1,12500
1693897,24.2,1,12600
1725282,25.4,1,12700
1759035,26.6,1,12800
1791234,25.2,1,12900
1825743,29.2,1,13000
1855597,24.6,1,13100
1885797,24.4,1,13200
1920470,28.9,1,13300
1953307,27.3,1,13400
1982398,23.4,1,13500
2009600,22.6,1,13600
2040118,24.2,1,13700
2071119,25.3,1,13800
2102785,24.3,1,13900
2134707,23.3,1,14000
2166522,24.8,1,14100
2199564,25.0,1,14200
2233734,26.2,1,14300
2268335,26.7,1,14400
2302201,24.7,1,14500
2338066,25.4,1,14600
2368034,23.6,1,14700
2396816,22.7,1,14800
2428737,26.3,1,14900
2461780,26.0,1,15000
2494368,23.3,1,15100
2524439,23.1,1,15200
2568535,26.6,1,15300
2601829,26.9,1,15400
2637720,27.4,1,15500
2669861,24.2,1,15600
2700520,22.7,1,15700
2736818,24.5,1,15800
2771862,27.1,1,15900
2812277,25.2,1,16000
2847841,28.9,1,16100
2880236,26.0,1,16200
2913324,26.7,1,16300
2949434,26.3,1,16400
2985923,24.7,1,16500
3029190,25.6,1,16600
3066154,27.7,1,16700
3104254,23.4,1,16800
3143194,26.3,1,16900
3184636,27.1,1,17000
3221654,26.9,1,17100
3258803,25.3,1,17200
3295299,26.9,1,17300
3333889,28.8,1,17400
3368825,28.5,1,17500
3405760,30.6,1,17600
3443267,26.5,1,17700
3479726,27.4,1,17800
3514701,28.8,1,17900
3552897,32.1,1,18000
3587149,28.9,1,18100
3622617,28.2,1,18200
3659294,22.6,1,18300
3692411,26.2,1,18400
3722972,25.2,1,18500
3758041,28.7,1,18600
3793930,29.5,1,18700
3828392,30.0,1,18800
3864819,31.1,1,18900
3895770,26.4,1,19000
3926394,26.3,1,19100
3959370,29.1,1,19200
3992337,28.1,1,19300
